Unnamed: 0,IA Health,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,1,"• Agenda de citas para pacientes propios o agendados desde la app, derivadas a WhatsApp o gestionadas directamente por WhatsApp.
• Posibilidad de que las citas médicas sean mediante videoconferencia.
• Recepción de expedientes pre-consulta: la IA entrega al médico un resumen ejecutivo, el motivo de consulta, el historial autorizado y los valores alterados.
• Recepción y agendamiento asistidos por voz con IA (posible en primera o segunda fase).
• Alertas previas al médico sobre citas concertadas y pagadas.","• Suscripciones (Stripe).
• Panel de gestión.
• Integración con el historial autorizado.
• Cobro anticipado.",• Arquitectura de suscripciones y gestión de pacientes: patrón de software estándar.,80-96 horas (10-12 días hábiles),,,80
,1,"• Base de datos propia de pacientes en la nube (pruebas médicas, medicación, etc.), organizada por la IA.
• Consulta de cualquier informe o paciente solicitándolo a la IA de forma sencilla.
• Acceso desde la web o el teléfono, en cualquier lugar (clínica, casa, portátil), con encriptación.",,,64-80 horas (8-10 días hábiles),80,,
,1,• Derivación inteligente de paciente a especialista.,"• Matching algorítmico por tipo de análisis, valores alterados y especialidad.
• Filtrado por ubicación y disponibilidad.","• Lógica de negocio + filtrado de base de datos + integración con la IA ya implementada.
• MVP Fase 1: sin filtrado por ubicación/disponibilidad todavía; se añadirá después.","24 horas (3 días hábiles)
MVP Fase 1 (matching simplificado)",24,,
,1,"• Telemedicina (videollamada, chat, audio).
• Módulo de entrega posconsulta: generación e inserción de informes, recomendaciones y plan de seguimiento.
• Control de pagos por adelantado recibidos de los pacientes.
• Liquidación de comisiones según el modelo de negocio (suscripción mensual, fee por consulta o modelo híbrido).",• Uso de Google Meet.,"• Integración de videollamada dependiente de un servicio externo, pero estándar y bien documentada.",96-120 horas (12-15 días hábiles),,84,
,1,• Verificación de colegiación de médicos.,"• Alta con verificación manual o semiautomática del número de colegiado, según el país.","• Depende de las bases de datos de los colegios médicos de cada país; no es un problema de software, sino de acceso a datos oficiales.","40-56 horas (5-7 días hábiles)
Dependiente de terceros",56,,
,1,"• IA especializada de apoyo en diagnósticos: revisión de análisis, radiografías y TAC.
• IA científica e investigadora: motor de búsqueda para evidencia médica, guías clínicas, protocolos y ensayos.
• IA clínica de diagnóstico/soporte: segunda opinión en la lectura de análisis clínicos, radiografías, TAC y resonancias.
• Herramientas médicas: calculadoras clínicas, conversión de unidades, escalas y sintetizador de artículos extensos.
• Interpretación de imágenes médicas (rayos X, TAC).","• Solución: conectar con un proveedor de IA especializado en radiología.
• Definir en qué fase se activa, según la regulación del país de lanzamiento (pendiente Marruecos y Argelia).",• Dificultad: el desarrollo propio implica alta complejidad técnica y regulatoria.,"160-200 horas (20-25 días hábiles)
o proveedor externo",,120,
,2,• Prácticas médicas en ONG: posibilidad de ejercer como médico en una ONG.,• Sección de prácticas y ONG: bolsa de oportunidades de voluntariado y prácticas internacionales para médicos recién graduados (con asistencia de traducción).,,32-40 horas (4-5 días hábiles),,,
,2,"• Comunidad médica internacional con traducción automática.
• Red social/foro privado entre médicos de distintas especialidades para discusión de casos.
• Traducción simultánea por IA: permite la colaboración internacional rompiendo la barrera del idioma.",• Foro/chat por especialidad con traducción en tiempo real (DeepL / Google Translate).,• El foro es desarrollo propio; la traducción depende de APIs externas. Se recomienda para una fase avanzada.,"80-96 horas (10-12 días hábiles)
Fase 2",,,
,,,,,,208,278,
,,,,,,,35 dias,
,,,,,,,70 h,
,,,,,,,,
,,,,,,,49 dias +27= 76 dias + testeo=90  dias.,
